Id,LotFrontage,LotArea,Street,LotShape,Utilities,MSSubClass,MSZoning,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,MiscFeature2,PriceRate
1211,70,11218,Pave,Reg,AllPub,60,RL,Inside,Gtl,SawyerW,1Fam,2Story,6,5,1992,1992,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1055,1055,GasA,Ex,Y,SBrkr,1055,790,0,1845,0,0,2,1,3,1,Gd,8,Typ,1,TA,Attchd,1992,RFn,2,462,TA,TA,Y,635,104,0,0,0,0,,GdPrv,Shed,400,5,2010,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1212,152,12134,Pave,IR1,AllPub,50,RL,Inside,Mod,Gilbert,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Gd,TA,Wood,Gd,TA,Av,GLQ,427,Unf,0,132,559,GasA,Gd,Y,SBrkr,1080,672,0,1752,0,0,2,0,4,1,TA,8,Typ,0,,Basment,1988,RFn,2,492,TA,TA,Y,325,12,0,0,0,0,,,,0,6,2010,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Feedr'}",moderate
1213,50,9340,Pave,Reg,AllPub,30,RL,Inside,Gtl,Edwards,1Fam,1Story,4,6,1941,1950,Hip,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,344,Unf,0,328,672,GasA,TA,Y,SBrkr,672,0,0,672,1,0,1,0,2,1,TA,4,Typ,0,,Attchd,1941,Unf,1,234,TA,TA,N,0,113,0,0,0,0,,,,0,8,2009,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",cheap
1214,,10246,Pave,IR1,AllPub,80,RL,CulDSac,Gtl,Sawyer,1Fam,SLvl,4,9,1965,2001,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,Gd,Av,GLQ,648,Unf,0,0,648,GasA,Ex,Y,SBrkr,960,0,0,960,1,1,0,0,0,1,TA,3,Typ,0,,Attchd,1965,Unf,1,364,TA,TA,Y,88,0,0,0,0,0,,,,0,5,2006,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1215,69,10205,Pave,IR1,AllPub,85,RL,Inside,Gtl,NAmes,1Fam,SFoyer,5,5,1962,1962,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Av,BLQ,784,Unf,0,141,925,GasA,TA,Y,SBrkr,999,0,0,999,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1962,Unf,1,300,TA,TA,Y,150,72,0,0,0,0,,,,0,5,2006,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1216,99,7094,Pave,IR1,AllPub,20,RL,Inside,Gtl,Sawyer,1Fam,1Story,5,5,1966,1966,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,180,LwQ,374,340,894,GasA,TA,Y,SBrkr,894,0,0,894,0,0,1,0,3,1,TA,5,Typ,0,,Detchd,1966,RFn,1,384,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,5,2007,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1217,68,8930,Pave,Reg,AllPub,90,RM,Inside,Gtl,Sawyer,Duplex,1.5Fin,6,5,1978,1978,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,Slab,,,,,0,,0,0,0,GasA,TA,Y,SBrkr,1318,584,0,1902,0,0,2,0,4,2,TA,8,Typ,0,,Attchd,1978,Unf,2,539,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2010,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",cheap
1218,72,8640,Pave,Reg,AllPub,20,FV,Inside,Gtl,Somerst,1Fam,1Story,8,5,2009,2009,Gable,CompShg,CemntBd,CmentBd,Stone,72,Gd,TA,PConc,Gd,TA,Mn,GLQ,936,Unf,0,364,1300,GasA,Ex,Y,SBrkr,1314,0,0,1314,1,0,2,0,3,1,Gd,6,Typ,0,,Attchd,2009,RFn,2,552,TA,TA,Y,135,112,0,0,0,0,,,,0,9,2009,New,Partial,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'PosN'}",moderate
1219,52,6240,Pave,Reg,AllPub,50,RM,Inside,Gtl,BrkSide,1Fam,1.5Fin,4,5,1947,1950,Gable,CompShg,AsbShng,AsbShng,None,0,TA,TA,Slab,,,,,0,,0,0,0,GasA,Gd,N,SBrkr,672,240,0,912,0,0,1,0,2,1,TA,3,Typ,0,,,,,0,0,,,N,0,0,0,0,0,0,,,,0,7,2006,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Artery'}",cheap
1220,21,1680,Pave,Reg,AllPub,160,RM,Inside,Gtl,BrDale,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,CemntBd,CmentBd,BrkFace,236,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,672,672,GasA,TA,Y,SBrkr,672,546,0,1218,0,0,1,1,3,1,TA,7,Typ,0,,,,,0,0,,,N,201,0,0,0,0,0,,,,0,4,2006,WD,Abnorml,"{'f1': 'Artery', 'f2': 'Lvl', 'f3': 'Artery'}",cheap
1221,66,7800,Pave,IR1,AllPub,20,RL,Inside,Gtl,NAmes,1Fam,1Story,5,5,1964,1964,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,Rec,312,LwQ,600,0,912,GasA,TA,Y,SBrkr,912,0,0,912,0,0,1,0,2,1,TA,5,Typ,0,,Attchd,1964,Unf,1,288,TA,TA,Y,0,0,0,0,0,0,,,,0,11,2006,WD,Abnorml,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",cheap
1222,55,8250,Pave,Reg,AllPub,20,RL,Inside,Gtl,Sawyer,1Fam,1Story,5,5,1968,1968,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,BLQ,250,LwQ,492,210,952,GasA,Ex,Y,SBrkr,1211,0,0,1211,0,0,1,0,3,1,TA,5,Typ,1,TA,Attchd,1968,Unf,1,322,TA,TA,Y,0,63,0,0,0,0,,,,0,8,2008,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1223,78,10496,Pave,Reg,AllPub,50,RL,Inside,Gtl,NAmes,1Fam,1.5Fin,6,6,1949,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,320,TA,TA,CBlock,TA,TA,Mn,Rec,196,Unf,0,844,1040,GasA,Ex,Y,SBrkr,1168,678,0,1846,0,0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,1949,Unf,1,315,TA,TA,Y,0,0,0,0,0,0,,GdWo,,0,1,2007,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1224,89,10680,Pave,Reg,AllPub,20,RL,Inside,Gtl,NAmes,1Fam,1Story,5,3,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,44,TA,TA,CBlock,TA,Fa,No,LwQ,756,Unf,0,1380,2136,GasA,TA,N,FuseA,2136,0,0,2136,0,0,2,0,4,1,TA,7,Mod,0,,Detchd,1951,Unf,2,528,TA,TA,Y,0,30,0,0,0,0,,MnPrv,,0,10,2006,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1225,60,15384,Pave,IR1,AllPub,60,RL,Inside,Gtl,Gilbert,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,724,Unf,0,64,788,GasA,Ex,Y,SBrkr,788,702,0,1490,1,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2004,Fin,2,388,TA,TA,Y,100,75,0,0,0,0,,,,0,2,2008,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1226,65,10482,Pave,Reg,AllPub,80,RL,Inside,Gtl,NAmes,1Fam,SLvl,6,8,1958,1958,Hip,CompShg,VinylSd,VinylSd,BrkFace,63,TA,Gd,CBlock,TA,TA,Av,GLQ,507,Unf,0,81,588,GasA,Ex,Y,SBrkr,1138,0,0,1138,0,1,1,0,3,1,TA,6,Typ,0,,Attchd,1958,RFn,1,264,TA,TA,Y,224,0,0,0,0,0,,MnWw,,0,6,2007,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1227,86,14598,Pave,IR1,AllPub,60,RL,CulDSac,Gtl,Somerst,1Fam,2Story,6,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,74,Gd,TA,PConc,Gd,TA,Mn,Unf,0,Unf,0,894,894,GasA,Ex,Y,SBrkr,894,1039,0,1933,0,0,2,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2007,Fin,3,668,TA,TA,Y,100,18,0,0,0,0,,,,0,1,2008,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1228,72,8872,Pave,Reg,AllPub,20,RL,Corner,Gtl,NAmes,1Fam,1Story,5,8,1965,2008,Gable,CompShg,VinylSd,VinylSd,BrkFace,300,TA,TA,CBlock,TA,TA,No,ALQ,595,Unf,0,317,912,GasA,Ex,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,Gd,5,Typ,0,,Detchd,1992,Unf,2,576,TA,TA,Y,0,240,0,0,0,0,,,,0,12,2008,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1229,65,8769,Pave,Reg,AllPub,120,RL,Corner,Gtl,NridgHt,TwnhsE,1Story,9,5,2008,2008,Hip,CompShg,MetalSd,MetalSd,BrkFace,766,Ex,TA,PConc,Ex,TA,No,GLQ,1540,Unf,0,162,1702,GasA,Ex,Y,SBrkr,1702,0,0,1702,1,0,1,1,1,1,Ex,7,Typ,1,Gd,Attchd,2008,Fin,3,1052,TA,TA,Y,0,72,0,0,224,0,,,,0,10,2008,New,Partial,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'RRAe'}",expensive
1230,70,7910,Pave,Reg,AllPub,80,RL,Inside,Gtl,NAmes,1Fam,SLvl,5,5,1960,1960,Hip,CompShg,BrkFace,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,ALQ,666,Unf,0,409,1075,GasA,Gd,Y,SBrkr,1507,0,0,1507,0,0,2,0,4,1,TA,7,Maj1,0,,Basment,1960,Unf,1,404,TA,TA,Y,0,0,0,0,0,0,,GdWo,,0,8,2008,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1231,,18890,Pave,IR1,AllPub,90,RL,Inside,Gtl,Sawyer,Duplex,1.5Fin,5,5,1977,1977,Shed,CompShg,Plywood,Plywood,None,1,TA,TA,CBlock,Gd,TA,No,GLQ,498,Rec,211,652,1361,GasA,Ex,Y,SBrkr,1361,1259,0,2620,0,0,2,2,4,2,TA,12,Typ,1,TA,BuiltIn,1977,RFn,2,600,TA,TA,N,155,24,145,0,0,0,,,Gar2,8300,8,2007,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1232,70,7728,Pave,Reg,AllPub,90,RL,Inside,Gtl,NAmes,Duplex,SLvl,5,6,1962,1962,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,120,TA,TA,CBlock,TA,TA,Av,ALQ,803,Unf,0,303,1106,GasA,TA,Y,SBrkr,1190,0,0,1190,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1962,Unf,2,540,TA,TA,Y,0,18,0,0,0,0,,GdWo,,0,5,2006,WD,Normal,"{'f1': 'Norm', 'f2': 'Bnk', 'f3': 'Norm'}",moderate
1233,70,9842,Pave,Reg,AllPub,90,RL,FR2,Gtl,NAmes,Duplex,1Story,4,5,1962,1962,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,Slab,,,,,0,,0,0,0,GasA,TA,Y,SBrkr,1224,0,0,1224,0,0,2,0,2,2,TA,6,Typ,0,,CarPort,1962,Unf,2,462,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2007,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",cheap
1234,,12160,Pave,IR1,AllPub,20,RL,Inside,Gtl,NAmes,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180,TA,TA,CBlock,TA,TA,No,Rec,1000,Unf,0,188,1188,GasA,Fa,Y,SBrkr,1188,0,0,1188,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1959,RFn,2,531,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,5,2010,COD,Abnorml,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1235,55,8525,Pave,Reg,AllPub,70,RH,Inside,Gtl,SWISU,1Fam,2Story,5,6,1911,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,PConc,TA,TA,Av,Unf,0,Unf,0,940,940,GasA,TA,N,FuseA,1024,940,0,1964,0,0,1,1,4,1,TA,7,Typ,0,,,,,0,0,,,N,0,192,0,0,0,0,,,,0,11,2008,WD,Abnorml,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1236,96,13132,Pave,Reg,AllPub,70,RL,Inside,Gtl,Crawfor,1Fam,2Story,5,5,1914,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,Gd,TA,Mn,Unf,0,Unf,0,747,747,GasA,Gd,Y,FuseF,892,892,0,1784,0,0,1,1,4,1,TA,9,Typ,0,,Detchd,1914,Unf,1,180,Fa,Fa,N,203,40,0,0,0,0,,,,0,7,2006,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1237,36,2628,Pave,Reg,AllPub,160,RL,Inside,Gtl,NridgHt,Twnhs,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,Wd Shng,Stone,106,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,764,764,GasA,Ex,Y,SBrkr,764,862,0,1626,0,0,2,1,2,1,Gd,6,Typ,0,,BuiltIn,2003,RFn,2,474,TA,TA,Y,0,27,0,0,0,0,,,,0,6,2010,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1238,41,12393,Pave,IR2,AllPub,60,RL,FR2,Gtl,CollgCr,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,847,847,GasA,Ex,Y,SBrkr,847,1101,0,1948,0,0,2,1,4,1,Gd,8,Typ,1,Gd,BuiltIn,2004,Fin,2,434,TA,TA,Y,100,48,0,0,0,0,,,,0,9,2006,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1239,63,13072,Pave,Reg,AllPub,20,RL,Inside,Gtl,SawyerW,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1141,1141,GasA,Ex,Y,SBrkr,1141,0,0,1141,0,0,1,1,3,1,TA,6,Typ,0,,Detchd,2005,Unf,2,484,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2006,WD,Abnorml,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1240,64,9037,Pave,IR1,AllPub,20,RL,Inside,Gtl,Timber,1Fam,1Story,8,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,32,Gd,TA,PConc,Gd,TA,Av,GLQ,428,Unf,0,1048,1476,GasA,Ex,Y,SBrkr,1484,0,0,1484,0,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2006,RFn,2,472,TA,TA,Y,120,33,0,0,0,0,,,,0,12,2007,WD,Normal,"{'f1': 'RRNn', 'f2': 'Lvl', 'f3': 'Feedr'}",moderate
1241,65,8158,Pave,Reg,AllPub,60,RL,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,252,Gd,TA,PConc,Gd,TA,No,GLQ,550,Unf,0,334,884,GasA,Ex,Y,SBrkr,884,884,0,1768,1,0,2,1,3,1,Gd,8,Typ,0,,Attchd,2003,RFn,2,543,TA,TA,Y,0,63,0,0,0,0,,,,0,7,2008,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Feedr'}",moderate
1242,83,9849,Pave,Reg,AllPub,20,RL,Inside,Gtl,Somerst,1Fam,1Story,7,6,2007,2007,Hip,CompShg,VinylSd,VinylSd,Stone,0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1689,1689,GasA,Ex,Y,SBrkr,1689,0,0,1689,0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2007,RFn,3,954,TA,TA,Y,0,56,0,0,0,0,,,,0,6,2007,New,Partial,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1243,85,10625,Pave,Reg,AllPub,85,RL,Inside,Gtl,NWAmes,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81,TA,TA,CBlock,Gd,TA,Gd,GLQ,885,LwQ,168,0,1053,GasA,TA,Y,SBrkr,1173,0,0,1173,1,0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1974,RFn,2,528,TA,TA,Y,0,120,0,0,0,0,,MnPrv,,0,1,2010,WD,Family,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1244,107,13891,Pave,Reg,AllPub,20,RL,Inside,Gtl,NridgHt,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,,Ex,TA,PConc,Ex,Gd,Gd,GLQ,1386,Unf,0,690,2076,GasA,Ex,Y,SBrkr,2076,0,0,2076,1,0,2,1,2,1,Ex,7,Typ,1,Gd,Attchd,2006,Fin,3,850,TA,TA,Y,216,229,0,0,0,0,,,,0,9,2006,New,Partial,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",expensive
1245,,11435,Pave,IR1,AllPub,70,RL,Corner,Mod,Crawfor,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,792,792,GasA,Fa,Y,SBrkr,792,725,0,1517,0,0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,1931,Unf,2,400,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2006,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1246,78,12090,Pave,Reg,AllPub,80,RL,Inside,Gtl,NWAmes,1Fam,SLvl,6,7,1984,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,74,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,585,585,GasA,Ex,Y,SBrkr,1140,728,0,1868,0,0,3,1,3,1,TA,7,Typ,1,TA,BuiltIn,1984,Fin,2,477,TA,TA,Y,268,112,0,0,147,0,,,,0,1,2007,WD,Abnorml,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1247,65,8125,Pave,Reg,AllPub,60,FV,Inside,Gtl,Somerst,1Fam,2Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,756,756,GasA,Ex,Y,SBrkr,756,797,0,1553,0,0,2,1,3,1,Gd,6,Typ,0,,Attchd,2005,RFn,2,615,TA,TA,Y,0,45,0,0,0,0,,,,0,3,2006,New,Partial,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1248,,12328,Pave,IR1,AllPub,80,RL,Inside,Gtl,Mitchel,1Fam,SLvl,6,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,335,TA,TA,CBlock,TA,TA,Av,GLQ,539,Unf,0,473,1012,GasA,TA,Y,SBrkr,1034,0,0,1034,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1976,Unf,3,888,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2010,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
1249,60,9600,Pave,Reg,AllPub,75,RM,Inside,Gtl,OldTown,1Fam,2.5Unf,6,5,1917,1950,Gable,CompShg,AsbShng,AsbShng,None,0,TA,TA,BrkTil,Gd,TA,No,Rec,319,Unf,0,416,735,OthW,Fa,N,SBrkr,1134,924,0,2058,0,0,1,1,3,1,TA,8,Typ,1,Gd,Detchd,1950,Unf,2,396,Fa,Fa,P,0,0,259,0,0,0,,,,0,4,2008,WD,Normal,"{'f1': 'Norm', 'f2': 'Lvl', 'f3': 'Norm'}",moderate
